,Roles,Companies,Locations,Requirements
51,"Associate, IT Operations",Bridge International Academies,Yaba,"We leverage experts, data, and technology in order to support and scale every aspect of quality education delivery.
Routers, switches and firewall experience."
52,K8s SRE Engineer (Remote),Null,Lagos,"Be proficient in Computer Science fundamentals in design, data structures, algorithm design, problem-solving, and complexity analysis."
53,"Coordinator, Customer Insight",Bridge International Academies,Yaba,"Provide guidance and direction to the RAs on data collection, data entry and data quality.
Experience providing guidance to data collection and data entry teams…"
54,ADMINISTRATIVE ASSISTANT,HURITT WATER,Abuja,"Read and interpret data, information and documents;
Compile data across several social media platforms and create reports.
Attends safety meetings as required;"
55,Vice President,Standard Bank,Lagos,Research & Data analysis capabilities - Ability to advise clients reliably by being able to interpret and present accurate and dependable data analysis.
56,IT SUPPORT INTERN,Ascentech,Lagos,"BSc/HND in Computer Science or a related Science / Engineering field.
Data usage, IT equipment use, etc).
We are seeking an IT Support Intern with a degree in…"
57,Data Centre Network Engineer,ipNX,Lagos,"Experience in troubleshooting complex data centre environments.
Ensure operational efficiency of colocation services of the Data Centre."
58,Revenue Protection Analyst,Null,Abia,"Gathers, organizes and analyzes data as it pertains to case development using analytical, tracking, and data management tools.
To travel to other locations;"
59,Political Economy Analysis for Human Capital Development - B...,Options Consultancy Services Ltd,Borno,"Feeding into discussions on the development of indicators to measure human capital development under the Lafiya logframe, including advising on available data…"
60,Data Capture Clerk,Null,Yobe,"Capture data accurately Capture problem solving documentation identify anomaly and notify relevant teams Maintain occupational health, safety, risk and…"
61,Front-end Developer,Null,Lagos,"We are currently focused on building technology to enable Identity, Payments, Learning and Data.
Good understanding of data structures and advanced algorithms e…"
62,Systems Administrator,ipNX,Lagos,"Experience administering centralized data backup and recovery infrastructure, including installation and configuration of open source data backup solutions like…"
63,KPMG - Lines of business Management Coordinator,Null,Nigeria,"Ability to gather data, compile and make inferences on the information gathered.
(i) Minimum of First Degree in Social Sciences (second class upper division)…"
64,Help Desk Manager,Tezza Business Solutions Ltd,Lagos,"BSc degree in Computer Science, Information Technology or relevant field.
Supervises the Help Desk team and leads them to deliver an exceptional service."
65,Country Launch Manager (Nigeria),Precision Agriculture for Development,Abuja,"A bachelor’s degree in economics, agricultural economics, public policy, business (MBA), computer science, data science, or a closely related field."
66,"Analyst, Agent Lifecycle Management (Supervisory)",Null,Nigeria,"A First Degree (B.Sc Or HND) In Economics, Business Administration, Marketing, Accounting Or Social Sciences Computer Literate Fluent In English Experience:"
67,Growth Analyst,Null,Nigeria,"Analyzing data and users feedback.
Equities, Fixed Income, ETFs, and Derivatives FUNCTIONAL COMPETENCIES Analytical Thinking Business Acumen Leveraging…"
68,IT Operations Manager,Null,Lagos,"Minimum qualification of 2.1 BSc in Computer Science or BEng Computer Engineering degree.
DBH Advisory is seeking an IT Operations Manager."
69,Data Engineer Job at Prunedge,Prunedge,Lagos,"Build data ingest and data transformation infrastructure.
Verifying data quality, and/or ensuring it via data cleansing."
70,Data Analytics & Insight Leader - GE,Null,Osun,"Establish regions data insight vision and roadmap through automation, dashboarding, data science, and MDM.
Solid knowledge of data science programs and concepts…"
71,Executive Assistant/Admin Support,Null,Lagos,"A first degree in Social Sciences or Arts.
Access office mails and conducts internet research for information and data analysis when necessary."
72,Mobile Operating Systems Engineer,O'la Kleen Holdings Limited,Lagos,"Solid Computer Science fundamentals including data structures, object-oriented programming concepts, algorithms, design patterns.
The ability to learn quickly."
73,Administrator-Network Voice & Data,Null,Nigeria,"Install network equipment in data centres and technical rooms.
Bachelors Degree/ Diploma in Computer Science, Engineering, and/ or Information Technology."
74,Business Analyst,Null,Lagos,"HND/BSC in Computer Science or any related course.
Analysis and requirements elicitation for Data Driven Solutions (validating & collation)."
75,Buyer,Null,Nigeria,"Several C&P Business Tools including UNISUP, CONTIKI, ARIBA, NIPEX Qualification A degree in Engineering, Management or Social Sciences (Preferably Purchasing &…"
76,Help Desk Manager,Tezza Business Solutions Ltd,Lagos,"BSc degree in Computer Science, Information Technology or relevant field.
Supervises the Help Desk team and leads them to deliver an exceptional service."
77,Executive Assistant/Admin Support,Null,Lagos,"A first degree in Social Sciences or Arts.
Access office mails and conducts internet research for information and data analysis when necessary."
78,Data Engineer Job at Prunedge,Prunedge,Lagos,"Build data ingest and data transformation infrastructure.
Verifying data quality, and/or ensuring it via data cleansing."
79,Data Engineer,Null,Lagos,"Decent coding expertise with Data Science programming languages like R, Python and Julia.
Implement enterprise cloud data architecture designs."
80,Administrator-Network Voice & Data,Null,Nigeria,"Install network equipment in data centres and technical rooms.
Bachelors Degree/ Diploma in Computer Science, Engineering, and/ or Information Technology."
81,Finance Assistant,The Palladium Group (HQ),Nigeria,"And use of data to inform government prioritisation of health);
University Degree or its equivalent in Business Administration, Accounting, Project Management…"
82,IT Operations Manager,Null,Lagos,"Minimum qualification of 2.1 BSc in Computer Science or BEng Computer Engineering degree.
DBH Advisory is seeking an IT Operations Manager."
83,Supply Chain Director,Null,Osun,"Knowledge of appropriate methods for data analysis and reporting.
Support scale-up and optimization of Navision Support NPSCMP to harmonize reporting cycles…"
84,Data Management Specialist,Null,Abia,"Manage all collected SIMS data.
MMaster's degree in Public Health, Epidemiology, Information Science, Computer Science, Health Information Management, Sociology…"
85,Data Analytics & Insight Leader - GE,Null,Osun,"Establish regions data insight vision and roadmap through automation, dashboarding, data science, and MDM.
Solid knowledge of data science programs and concepts…"
86,Mobile Operating Systems Engineer,O'la Kleen Holdings Limited,Lagos,"Solid Computer Science fundamentals including data structures, object-oriented programming concepts, algorithms, design patterns.
The ability to learn quickly."
87,Public Health Program Manager,Human Resource Specialists (Nigeria),Lekki,"Conduct site visits, and collate and analyze data using statistical software.
Bachelor’s degree in biological sciences or public health, Master’s degree…"
88,PO Institutional Framework,Economic Community of West African States,Abuja,"Efficiently retrieves, inputs, edits, formats, transmits and links electronic file data used for analysis and understands data management operations;"
89,Management Partner- Aspen Global Innovators,The Aspen Institute,Nigeria,"The use of data for decision-making;
Tailored leadership & management development program (online and in-person), with the possibility for Ministry staff to…"
90,Technical executive,Null,Port Harcourt,"Build quality assurance and data protection processes.
 BSc/BA in Computer Science, Engineering or a related field;
Port Harcourt & Rivers State|Full Time."
91,Data Engineer Job at Prunedge,Prunedge,Lagos,"Build data ingest and data transformation infrastructure.
Verifying data quality, and/or ensuring it via data cleansing."
92,Data Management Specialist,Null,Abia,"Manage all collected SIMS data.
MMaster's degree in Public Health, Epidemiology, Information Science, Computer Science, Health Information Management, Sociology…"
93,User Experience Analyst,Null,Nigeria,"Analyzing data and users feedback.
Equities, Fixed Income, ETFs, and Derivatives FUNCTIONAL COMPETENCIES Analytical Thinking Business Acumen Leveraging…"
94,VACANCY ANNOUNCEMENT,ARFH,Abuja,"Conduct routine monitoring visits to project sites, including the conduct of data verification and validation and data quality assessments (DQAs)."
95,Management Partner- Aspen Global Innovators,The Aspen Institute,Nigeria,"The use of data for decision-making;
Tailored leadership & management development program (online and in-person), with the possibility for Ministry staff to…"
96,"Team Lead, FrontEnd Developer",Renmoney,Lagos,"Utilize backend data services and contribute when required to creating and updating data services API.
Degree in Computer science or Information technology…"
97,"MD, Pensions Company",Null,Nigeria,"Strong belief in technology and the role of data analytics in driving decision making and business value.
Possess a minimum of first degree or its equivalent in…"
98,IT MANAGER,Null,Nigeria,"Bachelor’s degree in information technology, computer science, software engineering, or a related field.
Rest of Nigeria (Nationwide) |Full Time."
99,Local Project Coordinator,United Nations,Ilorin,"A University Bachelor's degree in Geography, Environmental Science Management, Development Studies, Environmental Economies or another field relevant to the…"
100,Public Health Program Manager,Human Resource Specialists (Nigeria),Lekki,"Conduct site visits, and collate and analyze data using statistical software.
Bachelor’s degree in biological sciences or public health, Master’s degree…"
101,IT Administrator - RusselSmith Group,Null,Osun,"Degree in Computer Science or related field Experience Required:
Add or upgrade and configure modems, disk drives, data acquisition systems, access control…"
102,Talent & Performance Management Officer -RusselSmith,Null,Osun,"Social sciences, legal or related field is preferred.
To maintain the Departments performance database, by collating, inputting, processing and retrieving…"
103,Program Managing Director,Bridge International Academies,Yaba,"Master’s degree in public policy, education, or related field in social sciences.
You collect data, you analyze it and make decisions with clear justifications."
104,Cyber Security Specialist Job at Avant Halogen,Avant Halogen,Lagos,"Bachelor's degree in Computer Science, Information Technology, Telecommunications, Electronics & Electrical or any related field."
105,LMS Coordinator,Null,Nigeria,"Generate standard and custom reports, analyze reporting data and recommend strategic direction to Head X-Academy and Chief Human Resource Officer (CHRO) Develop…"
106,Account Executive Job At Telinno Energy,Null,Osun,"Degree in Engineering or Applied Sciences, M.Sc.
Ability to work effectively within multi discipline and cross functional teams Ability to analyze and present…"
107,Data Support Analyst,Null,Nigeria,A startup is NOT a new tech company FUNCTIONAL COMPETENCIES Data Management Business Acumen BEHAVIOURAL COMPETENCIES Collaboration Effective Communication…
108,"Principal Officer, Salary Policy & Pension Administration",Economic Community of West African States,Abuja,"EMPLOYEE DATA MANAGEMENT & REPORTING OFFICER.
Maintain payroll pensions, benefits, allowances data in the ECOLink system;
Applications shoukd be sent to:"
109,ICT Server Administrator,Null,Osun,"Ensure access control for server & data access.
Ensure proper data management and file structure maintenance for TCPFA."
110,Data Analytics & Insight Leader - GE,Null,Osun,"Establish regions data insight vision and roadmap through automation, dashboarding, data science, and MDM.
Solid knowledge of data science programs and concepts…"
111,Technical Officer/Advisor Health Systems Strengthening - Nig...,Options Consultancy Services Ltd,Abuja,"Experience in using data and evidence to build programmes and to influence policy and practice.
An MSc or relevant qualification or related comparable…"
112,Political Economy Analysis for Human Capital Development - J...,Options Consultancy Services Ltd,Jigawa,"And use of data to inform government prioritisation of health);
Feeding into discussions on the development of indicators to measure human capital development…"
113,Information Technology Lead Job at ENYO Retail & Supply,ENYO Retail & Supply,Abuja,"Manage all aspects of IT security and ensure compliance with data protection regulations.
Minimum of a Bachelor's degree in Information Technology, Computer…"
114,K8s SRE Engineer,Null,Lagos,"Be proficient in Computer Science fundamentals in design, data structures, algorithm design, problem-solving, and complexity analysis."
115,LEARNING AND DEVELOPMENT ASSISTANTS (Short Term Contract),Null,Nigeria,"Manage staff attendances, absences at learning and training events and collate the data for required action .e.g.
Assist the development of web graphics."
116,Principal Solution Engineer - Licence Technology,Oracle,Lagos,"Degree in Computer Science, Engineering or equivalent;
Common customer opportunities and projects will include but are not limited to data consolidation, big…"
117,Technical Advisor,Null,Abia,"And (4) strategic use of data.
Social sciences degree at a Masters level in behavior change communication, public health education, sociology, nutrition,…"
118,"Product Analyst II, (Global Post Market CIS)",Boston Scientific Corporation,Cross River,"Biotech, Medical, Product Manager, Engineer, Chemical Research, Science, Healthcare, Operations, Engineering.
Establish regulatory reportability decisions using…"
119,Information Systems Auditor,CRC Credit Bureau,Lagos,"First degree in Computer science, Management, information systems or its equivalent in Science.
Network, operating system, database management system, data…"
120,Security Focal Point,Null,Edo,"University Degree in areas such as Political or Social Sciences, Conflict or crisis analysis or other relevant field.
Rest of Nigeria (Edo) |Full Time."
121,"Team Lead, Projects",ipNX,Lagos,"Degree or HND in Telecoms, Engineering or Applied Sciences.
Proficient use of data analytics software, e.g. Excel, Word, Google live sheets."
122,Data Warehouse Engineer,Renmoney,Lagos," Define each data label and create appropriate description and data types (general data profiling).
Data Warehouse Engineer will be essential in driving the…"
123,Head of Office - North East,Search for Common Ground,Maiduguri,"Knowledge using qualitative and quantitative data collection and analysis tools;
Master’s degree in a relevant field such as social sciences, law, political…"
124,Head Infrastructure and Security,Null,Lagos,Minimum of bachelor’s degree/ HND in Computer/System/ Electrical/ Electronic Engineering/ Applied physics/ Computer Science or a related discipline.
125,IT Specialist,Null,Yobe,Who we are looking for Bachelor of Science degree in Computer Science (or related field) from an accredited university.
126,"Senior Manager, Customer Operations",Null,Nigeria,"Consistent Customer Experience, Data Sales, Device Sales, Competitive Performance (Market Share / Churn / Customer Experience (NPS))."
127,Employee Services Manager - MTN Nigeria,Null,Nigeria,"Oversee The Maintenance Of Workforce Data And Ensure Security, Reliability And Secured Access To Related Information.
BA, BEd, HND, BSc Or BTech."
128,Data Scientist at Syrol Technologies,careersome,Lagos,"We are looking for an experienced data science engineer, who has good experience in writing Python ,Pandas, Numpy, and other data science libraries."
129,State Clinical Training Officer (Abia),Marie Stopes Nigeria,Abia,"Ensure that all reported data are archived chronologically in the state offices for data audit.
Conduct provider review meetings to mob-up data on need arises…"
130,Sustainable Development Goals Internship,United Nations,Abuja,"First Degree in Economics or Social Sciences.
Ability to collect both primary and secondary data and analyse the data.SecondaryKnowledge Management:"
131,PO Capacity Building & Best Practices,Economic Community of West African States,Abuja,"Efficiently retrieves, inputs, edits, formats, transmits and links electronic file data used for analysis and understands data management operations;"
132,Political Economy Analysis for Human Capital Development - K...,Options Consultancy Services Ltd,Kano,"And use of data to inform government prioritisation of health);
Feeding into discussions on the development of indicators to measure human capital development…"
133,Vacancies At Reddington Multispecialist Hospital Lagos,Null,Nigeria,Preferably social science discipline Good understanding of all areas of responsibility and their impact on customer perception and experience Experience:
134,MARKET RESEARCH & BUSINESS INTELLIGENCE OFFICER,Null,Nigeria,"Outstanding background in data analysis tools and methods.
JOB REQUIREMENTS Education First degree in any Discipline, preferably Economics, Computer Science and…"
135,Monitoring and Evaluation Director - OVC,Save the Children International,Lagos,"Working with partners and state teams, ensure that all information and data is collected, documented, and collated in an accurate and timely manner.- Conduct…"
136,Monitoring & Evaluation Officer,Heartland Alliance,Nigeria,"Ensure rigor and quality in data collection.
Support in the data collection tools development.
Carry out data verification exercises at collection points."
137,BUSINESS DEVELOPMENT MANAGER,Null,Ibadan,"An ability to define problems, collect data, establish facts and draw valid conclusions.
A minimum of first degree , preferably in either of Computer Sciences,…"
138,Technical Advisor,African Wildlife Foundation,Kano,"Significant dexterity with computer packages including word, data storage, statistical analyses, reporting and internet skills;"
139,WA MEL Advisor,TechnoServe,Nigeria,Supervise 1 Regional Database Administrator to ensure the build-out of data management technology that supports real-time data collection and reporting.
140,Junior Network Administrator,Null,Sokoto,"Minimum of first degree in Computer Science, Computer Engineering or related course of study is required.
La Fayette Microfinance Bank Limited is recruiting for…"
141,Software Developer Job at Hamilton Lloyd and Associates,Hamilton Lloyd and Associates,Lagos,"Bachelor's Degree in Computer Science or related Degree.
This includes, but is not limited to Software Applications, Web Sites, Data Communication Processes and…"
142,ANDROID DEVELOPER,Null,Lagos,"Work with outside data sources and APIs.
Must be a graduate in Computer Science, Engineering or a related fields.
Maintain code integrity and organization."
143,Vaccines Public Market Manager,Null,Nigeria,"Use all available data to maximise sales within each area.
Graduate in Healthcare fields, Science, preferably with a post graduate in public health and…"
144,Natural Language Processing Analyst,Xyples LLC,Lagos,"Lead the ETL process to ingest structured data and annotation processes to enrich unstructured data leveraging a variety of data sources (social media, news,…"
145,Project Associate (Nigeria),Precision Agriculture for Development,Abuja,"PAD is a small, but fast-growing global non-profit that uses tech, data science and behavioural economics to provide targeted information to farmers in…"
146,Fullstack .NET Developer,Null,Lagos,"B.Sc in Computer Science, Engineering, or related discipline.
We are looking for an .NET CORE developer who possesses a passion for pushing enterprise…"
147,Dev Ops Engineer,Centricity,Lagos,"A solid foundation in computer science, with competencies in data structures, algorithms, and software design practices.
Knowledge of Python or Javascript."
148,"HEAD, OTHER ASSET & LIABILITY PRODUCTS",Null,Nigeria,CHALLENGES Inaccurate customer data for revolving product lifecycle Obtaining information on competing products Lethargic Information Technology support…
149,MTN Nigeria Graduate Trainees Scheme 2016,Null,Osun,Actuarial Science Commerce Computer Science Digital Marketing Engineering Information Technology Marketing Mathematical Sciences Psychology Age and Experience…
150,Fullstack .NET Developer,Null,Lagos,"B.Sc in Computer Science, Engineering, or related discipline.
We are looking for an .NET CORE developer who possesses a passion for pushing enterprise…"
151,Support Engineer Job at Cobranet Limited,Cobranet Limited,Lagos,"A B.Sc (or equivalent) in Computer Science.
Cobranet Limited is a leading Internet Service and data provider.
We recruiting to fill the vacant position below:"
152,Business Analyst (BA0218),Tezza Business Solutions Ltd,Lagos,Process improvement and optimization skills and best practices to define and develop project workflows involving customer care teams / tasks and enhancing…
153,Research Supervisor (Post-Harvest,International Institute of Tropical Agriculture,Ibadan,"Through-put phenotyping, Trial data analysis skills.
Ensure all data are digitally recorded using PhenoApps.
27 July 2020 Closing Date:"
154,"Specialist, Data Quality Management",Null,Nigeria,Level of accuracy of reporting outputs as determined by stakeholder feedback Successful remediation of data issues identified during data analysis Documentation…
155,Senior Computer Technician,Redeemer's University,Ede,"In Computer Science or related disciplines or any equivalent professional qualification with proven experience in LAN/WAN networks, excellent troubleshooting…"
156,"HEAD, OTHER ASSET & LIABILITY PRODUCTS",Null,Nigeria,CHALLENGES Inaccurate customer data for revolving product lifecycle Obtaining information on competing products Lethargic Information Technology support…
157,"Senior Analyst, NAV Application Support",Null,Nigeria,"Use of a data analytics tools e.g. Oracle EDQ, and SSRS for analyzing gaps in the organization data Making recommendations to the management on areas where…"
158,Data Analyst at Proten International,careersome,Lagos,"Collecting, Analyzing and interpreting data.
Identifying patterns and trends in data sets.
Defining new data collection and analysis processes."
159,Revenue Protection Specialist,Null,Abia,"Education, Experience & Technical Skills Relevant Graduate degree (Incl HND) Degree in Engineering Courses and Sciences.
To travel to other locations;"
160,Videographer Job at AgroMall Discovery and Extension Service...,AgroMall Discovery and Extension Services Limited,Lagos,"Utilizing data to determine content needs.
Minimum Bachelor’s degree or equivalent in computer science.
AgroMall Discovery and Extension Services Limited is at…"
161,Medical Science Liasion,Null,Nigeria,"Pharmacist, MSc, degree in other life sciences.
Ability to understand and effectively convey emergent scientific and HEOR data."
162,"Associate, Customer Insights",Bridge International Academies,Yaba,"Perform data collection and data quality control activities during research projects.
Proficiency in Microsoft Excel - with experience using it for data entry,…"
163,"Business Analyst, Process Excellence",Edge Recruiter Nigeria,Lagos,"Collect data & feedback on performance;
Top marks at a top 5 Regional or Globally recognized University with a degree in commerce, engineering, sciences,…"
164,Solutions Development Analyst,Null,Nigeria,Identifies and evaluates industry trends in software development and RegTech Ensures he/she is abreast of the competitive landscape and industry trends …
165,Strategic Information (SI) Manager ICHSSA,Project HOPE,Lagos,"Supervise real-time data use including weekly, monthly and quarterly data review meetings.
Strengthen the use of data at state and facility level for program…"
166,Training & Recruitment Officer -RusselSmith Group,Null,Osun,"Social sciences, legal or related field is preferred.
Employee Records- Upload employees data on the companys HR software database.
Exertion of up to 10 lbs."
167,MTN Nigeria Graduate Trainees Scheme 2016,Null,Osun,Actuarial Science Commerce Computer Science Digital Marketing Engineering Information Technology Marketing Mathematical Sciences Psychology Age and Experience…
168,"Director, Finance & Administration",Null,Osun,"Maintain systems for program budget monitoring and tracking that include financial and contractual data.
Management Sciences for Health (MSH) seeks a Director…"
169,Full Stack Developer at Aegle,Null,Lagos,"Bachelor's degree or equivalent experience in Computer Science.
Full Stack Developer at Aegle.
We are Aegle, Africa’s leading health technology company, and we…"
170,Arik Air Recruits Junior Systems Support Analyst,Null,Yobe,"PERSON SPECIFICATIONS Bachelors Degree in Computer Science.
Perform back-up and data recovery operations on individual computer systems as required."
171,Analyst Information Management,Null,Nigeria,"BSC Computer Science Or Related Field From A Reputable Institution Experience:
Practical Experience As A Team Lead/Manager Data Modeling Experience,:"
172,"PRODUCT MANAGER, OTHER ASSET PRODUCTS",Null,Nigeria,CHALLENGES Inaccurate customer data for revolving product lifecycle Obtaining information on competing products Lethargic Information Technology support…
173,"Head of Information Technology, IT Job Cowry Asset",Null,Nigeria,"B.Sc Computer Science, B.Sc Software Engineering or B.Eng Computer Engineering.
Ensure that IT and IS systems, infrastructure and stored data are secure against…"
