,Roles,Companies,Locations,Requirements
53,Database Analytics Specialist at Byteworks Technology Solut...,careersome,Nigeria,"Minimum of 2.1 or above in Computer Science or related course.
Knowledge in Linux Usage,Proficiency in Word processing, visio, spreadsheets, data analyses,…"
54,Technical Assistant - GIS & Database Support at Achieving He...,careersome,Akwa Ibom,"Minimum of 1-3 years of relevant GIS, data systems work, programming and analytic experience;
Bachelor of Science degree in Geography / GIS Studies / Geography …"
55,Data Clerk at Achieving Health Nigeria Initiative,careersome,Gombe,"Data Clerk will design, implementation, monitoring, evaluation and reporting at the OSS, ensure rigor and quality in data collection, will also be responsible…"
56,Master Data Management Associate at First Bank of Nigeria Li...,careersome,Lagos,"Ensure that all data operations are aligned to the enterprise data strategy, data initiatives are synchronized where possible."
57,Database Management Assistant at eHealth4everyone,careersome,Abuja,"Minimum of a Bachelor's degree required in Information Management Technology, Computer Science / Engineering, Mathematics, Statistics or degree with sufficient…"
58,Database Analyst at Nextier,careersome,Abuja,"Identify and address data integrity issues.
A Bachelor’s degree in Computer Science, Information Technology or a related discipline."
59,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
60,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
61,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
62,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
63,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
64,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
65,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
66,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
67,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
68,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
69,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
70,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
71,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
72,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
73,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
74,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
75,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
76,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
77,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
78,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
79,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
80,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
81,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
82,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
83,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
84,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
85,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
86,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
87,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
88,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
89,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
90,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
91,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
92,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
93,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
94,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
95,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
96,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
97,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
98,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
99,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
100,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
101,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
102,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
103,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
104,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
105,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
106,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
107,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
108,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
109,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
110,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
111,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
112,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
113,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
114,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
115,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
116,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
117,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
118,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
119,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
120,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
121,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
122,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
123,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
124,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
125,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
126,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
127,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
128,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
129,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
130,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
131,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
132,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
133,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
134,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
135,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
136,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
137,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
138,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
139,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
140,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
141,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
142,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
143,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
144,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
145,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
146,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
147,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
148,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
149,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
150,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
151,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
152,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
153,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
154,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
155,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
156,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
157,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
158,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
159,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
160,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
161,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
162,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
163,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
164,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
165,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
166,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
167,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
168,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
