,Unnamed: 0,Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,left_company
236,236,2237,0.39,0.36,3,168,3,1,0,sales,low,YES
237,237,2238,0.74,0.72,4,176,3,0,0,sales,low,YES
238,238,2239,0.7,0.61,4,163,4,1,0,sales,low,YES
239,239,2240,0.72,0.93,4,148,2,0,0,sales,low,YES
240,240,2241,0.61,0.97,3,137,3,0,0,accounting,low,YES
241,241,2242,0.96,1.0,5,162,3,0,0,accounting,low,YES
242,242,2243,0.7,0.59,4,216,3,0,0,accounting,low,YES
243,243,2244,0.92,0.49,3,240,2,0,0,hr,low,YES
244,244,2245,0.72,0.56,4,176,2,0,0,hr,medium,YES
245,245,2246,0.53,0.75,6,192,6,0,0,hr,medium,YES
246,246,2247,0.67,0.85,3,160,4,0,0,hr,medium,YES
247,247,2248,0.78,0.8,4,194,2,1,0,technical,medium,YES
248,248,2249,0.53,0.75,4,239,2,1,0,technical,medium,YES
249,249,2250,0.9,0.48,4,204,3,0,0,technical,medium,YES
250,250,2251,0.16,0.9,5,258,3,0,0,technical,medium,YES
251,251,2252,0.62,0.38,3,257,3,0,0,technical,medium,YES
252,252,2253,0.62,0.98,4,137,3,0,0,technical,medium,YES
253,253,2254,0.22,0.52,6,175,4,0,0,technical,medium,YES
254,254,2255,0.91,0.82,3,183,3,0,0,technical,medium,YES
255,255,2256,0.87,0.74,4,190,4,0,0,technical,medium,YES
256,256,2257,0.95,0.69,3,225,2,0,0,technical,high,YES
257,257,2258,0.99,0.75,3,215,3,0,0,technical,low,YES
258,258,2259,0.99,0.57,3,176,4,1,0,support,medium,YES
259,259,2260,0.77,0.99,4,153,3,1,0,support,medium,YES
260,260,2261,0.75,0.68,3,150,2,1,0,support,medium,YES
261,261,2262,0.83,0.54,4,259,5,0,0,support,medium,YES
262,262,2263,0.61,0.39,3,99,2,0,0,support,low,YES
263,263,2264,0.91,0.97,3,167,2,0,0,support,low,YES
264,264,2265,0.47,0.64,3,192,3,0,0,support,low,YES
265,265,2266,0.77,0.61,5,146,3,0,0,support,low,YES
266,266,2267,0.55,0.51,3,190,3,0,0,support,low,YES
267,267,2268,0.32,0.48,5,246,3,0,0,support,low,YES
268,268,2269,0.96,0.67,6,190,3,0,0,support,low,YES
269,269,2270,0.72,0.79,5,260,2,0,0,technical,low,YES
270,270,2271,0.8,0.9,4,136,3,0,0,technical,low,YES
271,271,2272,0.61,0.55,4,231,3,0,0,technical,low,YES
272,272,2273,0.97,0.88,3,204,2,0,0,management,low,YES
273,273,2274,0.63,0.93,4,201,3,0,0,IT,low,YES
274,274,2275,0.92,0.92,3,159,3,0,0,IT,low,YES
275,275,2276,0.94,0.74,5,171,3,0,0,IT,low,YES
276,276,2277,0.79,0.72,6,240,4,0,0,IT,low,YES
277,277,2278,0.75,0.73,2,152,4,0,0,IT,low,YES
278,278,2279,0.78,0.99,3,151,3,1,0,product_mng,low,YES
279,279,2280,0.96,0.45,6,232,2,1,0,product_mng,low,YES
280,280,2281,0.65,0.68,4,128,5,0,0,product_mng,low,YES
281,281,2282,0.18,0.94,3,187,6,1,0,product_mng,low,YES
282,282,2283,0.94,0.51,3,160,2,0,0,IT,low,YES
283,283,2284,0.84,0.79,4,259,3,0,0,RandD,medium,YES
284,284,2285,0.67,0.54,2,136,2,0,0,RandD,medium,YES
285,285,2286,0.71,0.5,4,253,3,0,0,RandD,medium,YES
286,286,2287,0.56,0.64,3,260,3,0,0,RandD,medium,YES
287,287,2288,0.29,0.56,5,231,6,0,0,RandD,medium,YES
288,288,2289,0.47,0.9,3,101,2,1,0,marketing,medium,YES
289,289,2290,0.4,0.69,2,174,3,0,0,sales,medium,YES
290,290,2291,0.81,0.82,4,167,2,0,0,accounting,medium,YES
291,291,2292,0.96,0.99,3,148,3,0,0,support,medium,YES
292,292,2293,0.99,0.75,6,139,5,1,0,technical,medium,YES
293,293,2294,0.75,0.77,4,136,3,0,0,management,medium,YES
294,294,2295,0.75,0.74,4,153,2,0,0,marketing,medium,YES
295,295,2296,1.0,0.86,4,161,2,0,0,marketing,high,YES
296,296,2297,0.52,0.53,2,163,2,0,0,marketing,low,YES
297,297,2298,0.98,0.74,3,164,3,0,0,sales,medium,YES
298,298,2299,0.6,0.64,2,137,5,0,0,sales,medium,YES
299,299,2300,0.38,0.44,3,137,3,0,0,sales,medium,YES
300,300,2301,0.51,0.41,6,106,5,0,0,sales,medium,YES
301,301,2302,0.91,0.61,2,272,2,0,0,sales,low,YES
302,302,2303,0.56,0.62,5,238,3,0,0,sales,low,YES
303,303,2304,0.58,0.69,4,223,4,0,0,sales,low,YES
304,304,2305,0.51,0.53,3,201,2,0,0,sales,low,YES
305,305,2306,0.91,0.55,6,97,4,0,0,sales,low,YES
306,306,2307,0.8,0.98,2,232,6,1,0,sales,low,YES
307,307,2308,0.55,0.83,4,199,3,0,0,sales,low,YES
308,308,2309,0.62,0.53,3,141,3,0,0,sales,low,YES
309,309,2310,0.62,0.6,3,171,2,0,0,sales,low,YES
310,310,2311,0.87,0.58,4,212,3,0,0,sales,low,YES
311,311,2312,0.65,0.5,5,270,2,0,0,sales,low,YES
312,312,2313,0.51,0.64,3,267,2,0,0,sales,low,YES
313,313,2314,0.98,0.77,3,134,2,1,0,sales,low,YES
314,314,2315,0.13,0.43,4,165,5,0,0,sales,low,YES
315,315,2316,0.78,0.76,5,168,4,1,0,sales,low,YES
316,316,2317,0.6,0.98,3,262,2,0,0,accounting,low,YES
317,317,2318,0.68,0.69,3,185,2,0,0,accounting,low,YES
318,318,2319,0.55,0.84,3,237,3,0,0,accounting,low,YES
319,319,2320,0.99,0.79,4,192,3,0,0,hr,low,YES
320,320,2321,0.92,0.68,5,236,2,0,0,hr,low,YES
321,321,2322,1.0,0.65,4,202,4,1,0,hr,low,YES
322,322,2323,0.77,0.93,4,171,2,0,0,hr,medium,YES
323,323,2324,0.86,0.7,5,160,3,0,0,technical,medium,YES
324,324,2325,0.89,0.84,2,252,3,0,0,technical,medium,YES
325,325,2326,0.58,0.55,5,206,3,0,0,technical,medium,YES
326,326,2327,0.56,0.66,3,212,2,0,0,technical,medium,YES
327,327,2328,0.38,0.64,3,111,3,0,0,technical,medium,YES
328,328,2329,0.62,0.64,3,240,2,0,0,technical,medium,YES
329,329,2330,0.66,0.77,2,171,2,0,0,technical,medium,YES
330,330,2331,0.3,0.44,3,129,2,0,0,technical,medium,YES
331,331,2332,0.82,0.83,3,271,2,0,0,technical,medium,YES
332,332,2333,0.96,0.68,4,162,2,0,0,technical,medium,YES
333,333,2334,0.66,0.95,3,191,3,0,0,technical,medium,YES
334,334,2335,0.79,0.5,5,176,3,0,0,support,high,YES
335,335,2336,0.97,0.77,3,182,2,1,0,support,low,YES
336,336,2337,0.59,0.65,3,226,3,0,0,support,medium,YES
337,337,2338,0.57,0.48,4,161,3,0,0,support,medium,YES
338,338,2339,0.64,0.53,4,163,3,0,0,support,medium,YES
339,339,2340,0.14,0.51,5,173,4,0,0,support,medium,YES
340,340,2341,0.48,0.55,3,228,2,0,0,support,low,YES
341,341,2342,0.78,1.0,3,139,3,0,0,support,low,YES
342,342,2343,0.96,0.62,5,128,5,0,0,support,low,YES
343,343,2344,0.82,0.97,3,115,2,1,0,support,low,YES
344,344,2345,0.94,0.9,5,191,4,0,0,support,low,YES
345,345,2346,0.95,0.66,4,183,3,0,0,technical,low,YES
346,346,2347,0.59,0.43,3,173,3,0,0,technical,low,YES
347,347,2348,0.69,0.89,4,174,2,0,0,technical,low,YES
348,348,2349,0.74,0.72,3,213,3,0,0,management,low,YES
349,349,2350,0.67,0.67,4,192,4,0,0,IT,low,YES
350,350,2351,0.83,0.52,3,167,2,1,0,IT,low,YES
351,351,2352,0.81,0.85,3,263,3,1,0,IT,low,YES
352,352,2353,0.54,0.73,2,100,3,0,0,IT,low,YES
353,353,2354,0.89,0.83,3,164,3,0,0,IT,low,YES
354,354,2355,0.79,0.74,5,172,2,0,0,product_mng,low,YES
355,355,2356,0.46,0.58,4,171,3,0,0,product_mng,low,YES
356,356,2357,0.99,0.93,4,236,3,0,0,product_mng,low,YES
357,357,2358,0.75,0.9,5,186,4,0,0,product_mng,low,YES
358,358,2359,0.93,0.82,4,175,3,0,0,IT,low,YES
359,359,2360,0.65,0.6,5,227,3,0,0,RandD,low,YES
360,360,2361,0.19,0.63,4,142,6,0,0,RandD,low,YES
361,361,2362,0.48,0.61,2,121,2,0,0,RandD,medium,YES
362,362,2363,0.95,0.64,5,234,3,0,0,RandD,medium,YES
363,363,2364,0.92,0.77,4,185,3,0,0,RandD,medium,YES
364,364,2365,0.84,0.54,4,160,3,0,0,marketing,medium,YES
365,365,2366,0.37,0.63,4,153,3,1,0,sales,medium,YES
366,366,2367,0.22,0.74,3,199,6,0,0,accounting,medium,YES
367,367,2368,0.64,0.54,3,166,2,0,0,support,medium,YES
368,368,2369,0.72,0.88,2,247,3,0,0,technical,medium,YES
369,369,2370,0.48,0.69,4,245,3,0,0,management,medium,YES
370,370,2371,0.12,0.55,5,242,4,0,0,marketing,medium,YES
371,371,2372,0.78,0.98,5,158,2,0,0,marketing,medium,YES
372,372,2373,0.71,0.74,3,163,3,1,0,marketing,medium,YES
373,373,2374,0.38,0.69,3,99,3,1,0,sales,high,YES
374,374,2375,0.57,0.85,4,164,3,0,0,sales,low,YES
375,375,2376,0.72,0.51,3,160,3,0,0,sales,medium,YES
376,376,2377,0.6,0.57,2,184,3,0,0,sales,medium,YES
377,377,2378,0.61,0.55,5,266,2,0,0,sales,medium,YES
378,378,2379,0.67,0.64,4,190,2,0,0,sales,medium,YES
379,379,2380,0.97,0.97,5,192,2,0,0,sales,low,YES
380,380,2381,0.22,0.6,3,205,6,1,0,sales,low,YES
381,381,2382,0.15,0.53,4,205,5,1,0,sales,low,YES
382,382,2383,0.6,0.6,3,258,3,0,0,sales,low,YES
383,383,2384,0.15,0.8,5,151,2,1,0,sales,low,YES
384,384,2385,0.5,0.81,3,148,2,0,0,sales,low,YES
385,385,2386,0.9,0.67,3,179,2,0,0,sales,low,YES
386,386,2387,0.84,0.51,6,141,2,1,0,sales,low,YES
387,387,2388,0.74,0.78,5,216,2,0,0,sales,low,YES
388,388,2389,0.72,0.51,3,235,2,0,0,sales,low,YES
389,389,2390,0.93,0.63,3,160,4,1,0,sales,low,YES
390,390,2391,0.54,0.69,3,141,4,0,0,sales,low,YES
391,391,2392,0.87,0.65,4,246,2,1,0,sales,low,YES
392,392,2393,0.19,0.98,5,226,4,1,0,accounting,low,YES
393,393,2394,0.33,0.4,4,212,2,1,0,accounting,low,YES
394,394,2395,0.94,0.93,4,220,3,0,0,accounting,low,YES
395,395,2396,0.77,0.49,4,266,2,0,0,hr,low,YES
396,396,2397,0.48,0.82,3,183,2,0,0,hr,low,YES
397,397,2398,0.7,0.74,5,263,3,1,0,hr,low,YES
398,398,2399,0.54,0.93,4,161,4,1,0,hr,low,YES
399,399,2400,0.61,0.98,4,199,2,0,0,technical,low,YES
400,400,2401,0.97,0.4,4,258,4,1,0,technical,medium,YES
401,401,2402,0.6,0.85,3,209,2,1,0,technical,medium,YES
402,402,2403,0.93,0.84,5,135,3,0,0,technical,medium,YES
403,403,2404,0.48,0.69,4,222,2,0,0,technical,medium,YES
404,404,2405,0.16,0.76,5,192,3,0,0,technical,medium,YES
405,405,2406,0.18,0.75,3,250,3,0,0,technical,medium,YES
406,406,2407,0.84,0.75,3,187,3,1,0,technical,medium,YES
407,407,2408,0.69,0.63,4,217,3,0,0,technical,medium,YES
408,408,2409,0.22,0.88,4,213,3,1,0,technical,medium,YES
409,409,2410,0.83,0.52,4,273,3,0,0,technical,medium,YES
410,410,2411,0.58,0.5,2,132,3,0,0,support,medium,YES
411,411,2412,0.61,0.62,4,140,3,1,0,support,medium,YES
412,412,2413,0.67,0.5,4,173,2,1,0,support,high,YES
